date,NO2_Density
2022-01-01,5.473670535140626E-5
2022-01-07,1.8031647050738792E-5
2022-01-09,2.217736551705808E-5
2022-01-12,8.896903148782279E-5
2022-01-15,2.6314673959868388E-5
2022-01-16,5.551966384923552E-5
2022-01-18,4.409077882884603E-5
2022-01-19,2.6339500402790778E-5
2022-01-20,2.1099423975108682E-5
2022-01-22,4.835089202971872E-5
2022-01-23,8.130207852587457E-5
2022-01-24,1.143253539340019E-4
2022-01-27,3.204748645658738E-5
2022-01-28,8.932951459431263E-5
2022-01-30,2.817903572254968E-5
2022-02-01,2.812003062446997E-5
2022-02-02,1.0626690345819845E-4
2022-02-03,7.602536397943294E-5
2022-02-04,1.3555546725042475E-4
2022-02-05,8.699775207790642E-5
2022-02-08,2.979429653107163E-5
2022-02-09,3.6944456055835285E-5
2022-02-12,4.2300787754370915E-5
2022-02-14,1.8525281417576182E-5
2022-02-16,1.2811773523932102E-5
2022-02-17,3.891620509027247E-5
2022-02-21,9.608208347347963E-5
2022-02-23,5.41982772119989E-5
2022-02-24,5.52475259367065E-5
2022-02-27,2.054050310108096E-5
2022-02-28,2.766961006273969E-5
2022-03-01,2.6660339353000753E-5
2022-03-05,1.2376699194439093E-5
2022-03-06,2.6879359211315947E-5
2022-03-07,6.143250017003288E-5
2022-03-08,9.339470125272247E-5
2022-03-09,2.314856057197832E-4
2022-03-12,1.2145432992842358E-4
2022-03-14,5.7909219322046876E-5
2022-03-17,4.1629038605620014E-5
2022-03-18,4.863689900959595E-5
2022-03-21,3.8179146716277726E-5
2022-03-22,3.895447298420025E-5
2022-03-27,1.361257745884811E-4
2022-03-28,1.888796273287821E-4
2022-04-01,4.3511451304782286E-5
2022-04-03,4.652796267348176E-5
2022-04-06,5.225297718427017E-5
2022-04-14,2.1992520327670675E-5
2022-04-15,1.1130259736095526E-5
2022-04-17,1.815307405195802E-5
2022-04-23,5.919379428375082E-5
2022-04-24,5.31480072823064E-5
2022-04-28,5.325322916386818E-5
2022-04-29,5.931716939817871E-5
2022-04-30,2.6573889246870595E-5
2022-05-02,5.132680962562403E-5
2022-05-22,1.8843224097515195E-5
2022-05-23,1.3355846022027325E-5
2022-06-08,1.2025986507073314E-5
2022-06-13,1.4282179740068467E-5
2022-06-21,2.6092412866236665E-5
2022-06-25,3.597077162675356E-5
2022-06-27,3.55624550260585E-5
2022-06-28,1.6824316844582557E-5
2022-07-01,3.2842010114120053E-5
2022-07-04,1.0753575952268068E-5
2022-07-08,4.822028859054409E-5
2022-07-09,1.2850749351187515E-5
2022-07-12,3.31731644109933E-5
2022-07-13,5.555435564021563E-6
2022-07-17,2.844335904229446E-5
2022-07-18,6.754826608814681E-5
2022-07-19,9.958483133235529E-5
2022-07-25,8.048160088949717E-5
2022-08-10,2.510530528949835E-5
2022-08-11,1.1948002379534203E-5
2022-08-12,1.4258919691206036E-5
2022-08-13,3.753854616662803E-5
2022-08-14,3.8422127545358334E-5
2022-08-15,8.1616577517734E-5
2022-08-16,3.6508132374429706E-5
2022-08-18,3.161627682858266E-5
2022-08-20,2.2043936041889583E-5
2022-09-11,1.6683252054975693E-5
2022-09-13,1.6073028746182782E-5
2022-09-14,2.4994414456411876E-5
2022-09-15,5.1767263715598655E-5
2022-09-16,7.907422687311653E-5
2022-09-17,3.002078265655089E-5
2022-09-22,1.9381986930972815E-5
2022-09-23,1.353789321001836E-5
2022-09-24,2.4712974952663222E-5
2022-09-25,5.3547468269261624E-5
2022-09-26,6.2223155878281E-5
2022-09-29,2.8716874463824635E-5
2022-10-10,3.896372800228549E-5
2022-10-11,1.4252267948579508E-5
2022-10-26,3.5619035770662784E-5
2022-10-28,1.6796997442730695E-5
2022-11-06,3.180967541994652E-5
2022-11-09,8.620676382179748E-6
2022-11-13,2.983492595377438E-5
2022-11-16,1.3146192941353367E-5
2022-11-17,2.1888027824620488E-5
2022-11-18,2.2853459314630587E-5
2022-11-22,3.429070534315424E-5
2022-11-23,5.4510278368343165E-5
2022-11-24,3.933329571738283E-5
2022-11-28,3.228294316004596E-5
2022-11-29,4.2925723419687394E-5
2022-11-30,4.1952782339663214E-5
2022-12-13,4.1342039925866424E-5
2022-12-15,3.334552367032289E-5
