time_stamp,sensor_index,humidity,temperature,pm2.5_atm,datetime,pm2.5_corrected,aqi,temperature_c,humidity_percent,precipitation_mm,wind_speed_kmh,wind_direction_deg,no2_density
1719792000,173211,73,86,13.4,2024-07-01 00:00:00,6.598400000000001,36.65777777777778,25.6,91,0.1,10.0,195,
1719795600,173211,71,87,13.0,2024-07-01 01:00:00,6.5536,36.40888888888889,25.6,91,0.3,10.2,190,
1719799200,173211,70,88,14.2,2024-07-01 02:00:00,7.278799999999999,40.437777777777775,25.5,92,0.5,10.5,202,
1719802800,173211,68,89,6.5,2024-07-01 03:00:00,3.3358,18.53222222222222,25.5,92,0.5,11.6,196,
1719806400,173211,65,90,3.9,2024-07-01 04:00:00,2.200600000000001,12.22555555555556,24.9,94,1.4,8.5,208,
1719810000,173211,64,90,3.4,2024-07-01 05:00:00,2.018,11.21111111111111,24.6,93,4.0,11.7,227,
1719813600,173211,60,93,3.1,2024-07-01 06:00:00,2.1954,12.196666666666667,25.4,93,0.1,12.3,185,
1719817200,173211,54,95,3.1,2024-07-01 07:00:00,2.7018000000000004,15.010000000000002,25.8,89,0.3,10.1,182,
1719820800,173211,55,93,2.8,2024-07-01 08:00:00,2.4572,13.65111111111111,26.8,87,0.1,10.0,206,
1719824400,173211,54,95,2.9,2024-07-01 09:00:00,2.595,14.416666666666668,25.3,90,1.7,10.2,228,
1719828000,173211,53,95,4.4,2024-07-01 10:00:00,3.4804,19.335555555555555,27.5,82,0.1,12.9,216,
1719831600,173211,56,93,3.9,2024-07-01 11:00:00,2.9602000000000004,16.445555555555558,28.2,81,0.1,13.6,233,
1719835200,173211,59,92,7.4,2024-07-01 12:00:00,4.5760000000000005,25.422222222222224,27.9,84,0.1,16.7,233,
1719838800,173211,62,91,12.7,2024-07-01 13:00:00,7.153,39.73888888888889,28.0,84,0.1,15.8,229,
1719842400,173211,64,90,6.3,2024-07-01 14:00:00,3.5666,19.814444444444444,28.1,82,0.1,17.3,239,
1719846000,173211,67,89,4.0,2024-07-01 15:00:00,2.0852000000000004,11.584444444444449,28.3,80,0.1,16.7,233,
1719849600,173211,67,89,4.9,2024-07-01 16:00:00,2.5658000000000007,14.254444444444449,28.0,80,0.2,16.0,234,
1719853200,173211,67,89,6.5,2024-07-01 17:00:00,3.4202000000000004,19.00111111111111,27.5,83,0.1,13.3,232,
1719856800,173211,69,89,5.4,2024-07-01 18:00:00,2.6640000000000006,14.800000000000002,27.3,82,0.0,8.7,246,
1719860400,173211,71,88,17.4,2024-07-01 19:00:00,8.903199999999998,49.46222222222221,26.8,86,0.0,6.7,216,
1719864000,173211,73,87,20.4,2024-07-01 20:00:00,10.3364,53.30355893536122,26.6,87,0.0,7.1,210,
1719867600,173211,72,87,17.3,2024-07-01 21:00:00,8.7654,48.696666666666665,26.7,87,0.0,7.7,221,
1719871200,173211,71,87,17.9,2024-07-01 22:00:00,9.1702,51.13079087452472,26.5,88,0.1,8.8,215,
1719874800,173211,73,87,15.5,2024-07-01 23:00:00,7.719800000000001,42.887777777777785,26.4,89,0.0,9.3,216,
1719878400,173211,73,86,17.4,2024-07-02 00:00:00,8.734399999999999,48.524444444444434,26.1,90,0.1,10.5,221,4.170211295256968e-05
1719882000,173211,72,88,17.5,2024-07-02 01:00:00,8.8722,49.28999999999999,26.1,91,0.1,9.2,222,4.170211295256968e-05
1719885600,173211,70,89,18.0,2024-07-02 02:00:00,9.308,51.38752851711027,26.4,89,0.0,7.3,213,4.170211295256968e-05
1719889200,173211,68,90,8.2,2024-07-02 03:00:00,4.2436,23.575555555555557,26.2,89,0.1,8.9,227,4.170211295256968e-05
1719892800,173211,62,92,3.3,2024-07-02 04:00:00,2.1334,11.852222222222222,26.3,89,0.2,7.4,227,4.170211295256968e-05
1719896400,173211,56,95,3.0,2024-07-02 05:00:00,2.4796000000000005,13.775555555555558,26.1,90,0.2,8.4,230,4.170211295256968e-05
1719900000,173211,52,96,3.4,2024-07-02 06:00:00,3.0308,16.837777777777777,26.5,91,0.2,8.9,243,4.170211295256968e-05
1719903600,173211,50,97,3.1,2024-07-02 07:00:00,3.0394000000000005,16.88555555555556,27.4,89,0.0,10.3,245,4.170211295256968e-05
1719907200,173211,51,97,3.2,2024-07-02 08:00:00,3.0084,16.71333333333333,27.9,86,0.1,11.9,241,4.170211295256968e-05
1719910800,173211,49,98,3.3,2024-07-02 09:00:00,3.2306,17.947777777777777,28.8,82,0.1,13.9,245,4.170211295256968e-05
1719914400,173211,53,96,3.5,2024-07-02 10:00:00,2.9998,16.665555555555557,29.3,80,0.1,15.0,249,4.170211295256968e-05
1719918000,173211,54,95,4.9,2024-07-02 11:00:00,3.6630000000000007,20.35,29.6,79,0.1,15.7,250,4.170211295256968e-05
1719921600,173211,56,94,8.5,2024-07-02 12:00:00,5.416600000000001,30.092222222222222,29.7,79,0.1,17.0,253,4.170211295256968e-05
1719925200,173211,59,92,81.7,2024-07-02 13:00:00,44.2522,122.5506432160804,29.7,78,0.1,16.6,257,4.170211295256968e-05
1719928800,173211,62,91,19.1,2024-07-02 14:00:00,10.5706,53.73990114068441,29.5,78,0.0,15.6,247,4.170211295256968e-05
1719932400,173211,67,90,13.6,2024-07-02 15:00:00,7.211600000000001,40.06444444444445,29.4,77,0.1,16.3,242,4.170211295256968e-05
1719936000,173211,68,89,13.5,2024-07-02 16:00:00,7.0738,39.29888888888889,28.9,79,0.1,15.1,242,4.170211295256968e-05
1719939600,173211,69,89,15.3,2024-07-02 17:00:00,7.950600000000001,44.17000000000001,28.4,81,0.1,13.7,247,4.170211295256968e-05
