time_stamp,sensor_index,humidity_percent,temperature,datetime,pm2.5_corrected,temperature_c,precipitation_mm,wind_speed_kmh,no2_density,WindDir_sin,WindDir_cos
1641139200,12451,100.0,83.0,2022-01-02 16:00:00,16.5,22.0,0.0,15.1,5.264080300544717e-06,0.9510565162951536,-0.3090169943749473
1641142800,12451,100.0,83.0,2022-01-02 17:00:00,9.9,22.0,0.0,15.2,5.264080300544717e-06,0.9702957262759964,-0.2419218955996677
1641146400,12451,100.0,83.0,2022-01-02 18:00:00,9.0,21.6,0.0,14.4,5.264080300544717e-06,0.9743700647852352,-0.224951054343865
1641150000,12451,100.0,82.0,2022-01-02 19:00:00,10.2,21.4,0.0,13.5,5.264080300544717e-06,0.9876883405951378,-0.1564344650402308
1641153600,12451,100.0,82.0,2022-01-02 20:00:00,4.2,21.7,0.0,12.8,5.264080300544717e-06,0.984807753012208,-0.1736481776669303
1641157200,12451,100.0,81.0,2022-01-02 21:00:00,5.8,21.6,0.0,13.8,5.264080300544717e-06,0.9945218953682732,-0.1045284632676535
1641160800,12451,100.0,81.0,2022-01-02 22:00:00,9.8,21.5,0.0,13.8,5.264080300544717e-06,0.9876883405951378,-0.1564344650402308
1641164400,12451,100.0,80.0,2022-01-02 23:00:00,7.3,21.5,0.0,14.8,5.264080300544717e-06,0.9975640502598242,-0.0697564737441253
1641168000,12451,100.0,81.0,2022-01-03 00:00:00,18.4,21.8,0.0,13.7,5.264080300544717e-06,0.9986295347545738,-0.0523359562429438
1641168000,12451,100.0,81.0,2022-01-03 00:00:00,18.4,63.0,,,5.264080300544717e-06,,
1641171600,12451,100.0,81.0,2022-01-03 01:00:00,33.1,21.8,0.0,13.0,5.264080300544717e-06,0.9945218953682732,-0.1045284632676535
1641175200,12451,100.0,82.0,2022-01-03 02:00:00,37.3,22.5,0.0,13.9,5.264080300544717e-06,0.984807753012208,-0.1736481776669303
1641178800,12451,100.0,83.0,2022-01-03 03:00:00,26.5,23.5,0.0,19.5,5.264080300544717e-06,0.9993908270190958,-0.0348994967025009
1641182400,12451,100.0,84.0,2022-01-03 04:00:00,10.6,24.4,0.0,19.4,5.264080300544717e-06,0.9998476951563912,-0.0174524064372834
1641186000,12451,100.0,85.0,2022-01-03 05:00:00,13.4,25.5,0.0,21.3,5.264080300544717e-06,0.9993908270190958,0.034899496702501
1641189600,12451,100.0,85.0,2022-01-03 06:00:00,39.7,26.6,0.0,18.4,5.264080300544717e-06,1.0,6.123233995736766e-17
1641193200,12451,100.0,86.0,2022-01-03 07:00:00,19.2,26.9,0.1,16.9,5.264080300544717e-06,1.0,6.123233995736766e-17
1641196800,12451,100.0,85.0,2022-01-03 08:00:00,11.6,26.2,0.7,16.9,5.264080300544717e-06,0.9998476951563912,0.0174524064372836
1641200400,12451,100.0,86.0,2022-01-03 09:00:00,10.3,25.3,0.3,15.8,5.264080300544717e-06,1.0,6.123233995736766e-17
1641204000,12451,100.0,86.0,2022-01-03 10:00:00,10.5,24.9,1.7,13.0,5.264080300544717e-06,0.9993908270190958,-0.0348994967025009
1641207600,12451,100.0,84.0,2022-01-03 11:00:00,23.9,23.3,2.7,11.5,5.264080300544717e-06,0.9702957262759964,-0.2419218955996677
1641211200,12451,100.0,84.0,2022-01-03 12:00:00,17.0,22.7,0.1,12.9,5.264080300544717e-06,0.9743700647852352,-0.224951054343865
1641214800,12451,100.0,82.0,2022-01-03 13:00:00,17.4,22.5,0.0,12.8,5.264080300544717e-06,0.981627183447664,-0.1908089953765448
1641218400,12451,100.0,82.0,2022-01-03 14:00:00,16.3,22.1,0.0,12.8,5.264080300544717e-06,0.984807753012208,-0.1736481776669303
1641222000,12451,100.0,82.0,2022-01-03 15:00:00,26.9,21.9,0.0,11.4,5.264080300544717e-06,0.981627183447664,-0.1908089953765448
1641225600,12451,100.0,81.0,2022-01-03 16:00:00,23.8,21.7,0.0,12.1,5.264080300544717e-06,0.984807753012208,-0.1736481776669303
1641229200,12451,100.0,82.0,2022-01-03 17:00:00,25.9,21.6,0.0,10.5,5.264080300544717e-06,0.9945218953682732,-0.1045284632676535
1641232800,12451,100.0,82.0,2022-01-03 18:00:00,30.6,21.6,0.0,9.4,5.264080300544717e-06,0.992546151641322,-0.1218693434051473
1641236400,12451,100.0,82.0,2022-01-03 19:00:00,22.0,21.4,0.0,10.5,5.264080300544717e-06,0.9902680687415704,-0.1391731009600653
1641240000,12451,100.0,81.0,2022-01-03 20:00:00,13.1,21.4,0.0,11.4,5.264080300544717e-06,0.9743700647852352,-0.224951054343865
1641243600,12451,100.0,81.0,2022-01-03 21:00:00,12.7,21.4,0.0,10.7,5.264080300544717e-06,0.9781476007338056,-0.2079116908177593
1641247200,12451,100.0,81.0,2022-01-03 22:00:00,11.7,21.3,0.0,10.7,5.264080300544717e-06,0.9781476007338056,-0.2079116908177593
1641250800,12451,100.0,80.0,2022-01-03 23:00:00,18.2,21.4,0.0,11.7,5.264080300544717e-06,0.981627183447664,-0.1908089953765448
1641254400,12451,100.0,79.0,2022-01-04 00:00:00,23.3,21.0,0.0,13.0,5.264080300544717e-06,0.9961946980917455,-0.0871557427476582
1641254400,12451,100.0,79.0,2022-01-04 00:00:00,23.3,61.0,,,5.264080300544717e-06,,
1641258000,12451,100.0,79.0,2022-01-04 01:00:00,33.3,21.4,0.0,10.8,5.264080300544717e-06,1.0,6.123233995736766e-17
1641261600,12451,100.0,81.0,2022-01-04 02:00:00,35.8,22.0,0.0,10.5,5.264080300544717e-06,0.9902680687415704,-0.1391731009600653
1641265200,12451,100.0,83.0,2022-01-04 03:00:00,26.8,23.4,0.0,14.1,5.264080300544717e-06,0.9986295347545738,-0.0523359562429438
1641268800,12451,100.0,85.0,2022-01-04 04:00:00,28.6,24.4,0.1,15.2,5.264080300544717e-06,0.9961946980917455,0.0871557427476581
1641272400,12451,100.0,86.0,2022-01-04 05:00:00,31.5,25.1,0.2,16.5,5.264080300544717e-06,0.981627183447664,0.1908089953765449
1641276000,12451,100.0,85.0,2022-01-04 06:00:00,50.0,26.1,0.1,16.2,5.264080300544717e-06,0.9743700647852352,0.2249510543438649
1641279600,12451,100.0,84.0,2022-01-04 07:00:00,41.8,27.0,0.0,13.0,5.264080300544717e-06,0.9702957262759964,0.2419218955996676
1641283200,12451,100.0,85.0,2022-01-04 08:00:00,44.7,26.7,0.4,13.4,5.264080300544717e-06,0.9902680687415704,0.1391731009600654
1641286800,12451,100.0,85.0,2022-01-04 09:00:00,36.8,24.7,2.1,10.6,5.264080300544717e-06,0.9135454576426008,-0.4067366430758002
1641290400,12451,100.0,85.0,2022-01-04 10:00:00,36.3,24.2,0.1,10.1,5.264080300544717e-06,1.0,6.123233995736766e-17
1641294000,12451,100.0,84.0,2022-01-04 11:00:00,39.3,24.3,0.6,10.9,5.264080300544717e-06,0.9945218953682732,0.1045284632676534
1641297600,12451,100.0,83.0,2022-01-04 12:00:00,44.8,23.5,0.1,12.9,5.264080300544717e-06,0.9743700647852352,-0.224951054343865
1641301200,12451,100.0,83.0,2022-01-04 13:00:00,54.6,22.3,0.0,9.5,5.264080300544717e-06,0.981627183447664,-0.1908089953765448
1641304800,12451,100.0,82.0,2022-01-04 14:00:00,47.7,22.1,0.0,9.4,5.264080300544717e-06,0.9510565162951536,-0.3090169943749473
1641308400,12451,100.0,82.0,2022-01-04 15:00:00,43.9,22.2,0.0,10.2,5.264080300544717e-06,0.9902680687415704,-0.1391731009600653
1641312000,12451,100.0,82.0,2022-01-04 16:00:00,45.9,22.2,0.0,10.1,5.264080300544717e-06,1.0,6.123233995736766e-17
1641315600,12451,100.0,82.0,2022-01-04 17:00:00,45.7,22.1,0.0,7.9,5.264080300544717e-06,1.0,6.123233995736766e-17
1641319200,12451,100.0,82.0,2022-01-04 18:00:00,42.7,22.0,0.0,6.6,5.264080300544717e-06,0.9743700647852352,-0.224951054343865
1641322800,12451,100.0,82.0,2022-01-04 19:00:00,43.2,21.8,0.0,5.9,5.264080300544717e-06,0.981627183447664,-0.1908089953765448
1641326400,12451,100.0,81.0,2022-01-04 20:00:00,40.9,21.7,0.0,5.4,5.264080300544717e-06,0.9902680687415704,0.1391731009600654
1641330000,12451,100.0,81.0,2022-01-04 21:00:00,35.8,21.0,0.0,5.4,5.264080300544717e-06,0.9902680687415704,-0.1391731009600653
1641333600,12451,100.0,81.0,2022-01-04 22:00:00,40.5,21.2,0.0,6.5,5.264080300544717e-06,0.9945218953682732,-0.1045284632676535
1641337200,12451,100.0,81.0,2022-01-04 23:00:00,40.3,21.6,0.0,6.2,5.264080300544717e-06,0.984807753012208,-0.1736481776669303
1641340800,12451,100.0,81.0,2022-01-05 00:00:00,35.8,21.6,0.0,3.6,5.264080300544717e-06,0.9945218953682732,-0.1045284632676535
1641340800,12451,100.0,81.0,2022-01-05 00:00:00,35.8,51.0,,,5.264080300544717e-06,,
1641344400,12451,100.0,81.0,2022-01-05 01:00:00,38.5,21.7,0.0,5.6,5.264080300544717e-06,0.9659258262890684,-0.2588190451025208
1641348000,12451,100.0,82.0,2022-01-05 02:00:00,40.3,22.2,0.0,5.5,5.264080300544717e-06,0.981627183447664,-0.1908089953765448
1641351600,12451,100.0,83.0,2022-01-05 03:00:00,39.4,23.3,0.0,9.1,5.264080300544717e-06,0.9876883405951378,-0.1564344650402308
1641355200,12451,100.0,84.0,2022-01-05 04:00:00,42.4,23.6,0.1,7.4,5.264080300544717e-06,0.9702957262759964,0.2419218955996676
1641358800,12451,100.0,86.0,2022-01-05 05:00:00,37.9,24.7,0.2,7.3,5.264080300544717e-06,0.9396926207859084,0.3420201433256688
1641362400,12451,100.0,87.0,2022-01-05 06:00:00,36.6,26.6,0.0,7.2,5.264080300544717e-06,0.7986355100472928,0.6018150231520484
1641366000,12451,100.0,88.0,2022-01-05 07:00:00,34.7,26.7,0.1,9.5,5.264080300544717e-06,0.7986355100472928,0.6018150231520484
1641369600,12451,100.0,88.0,2022-01-05 08:00:00,32.6,25.7,0.0,7.6,5.264080300544717e-06,0.9961946980917455,-0.0871557427476582
1641373200,12451,100.0,89.0,2022-01-05 09:00:00,24.2,25.2,0.3,11.0,5.264080300544717e-06,0.9205048534524404,0.3907311284892737
1641376800,12451,100.0,87.0,2022-01-05 10:00:00,15.6,25.3,0.1,6.2,5.264080300544717e-06,0.9335804264972016,-0.3583679495453002
1641380400,12451,100.0,85.0,2022-01-05 11:00:00,18.1,24.6,0.0,9.6,5.264080300544717e-06,0.9396926207859084,-0.3420201433256687
1641384000,12451,100.0,85.0,2022-01-05 12:00:00,38.3,24.3,0.0,3.3,5.264080300544717e-06,0.9945218953682732,0.1045284632676534
1641387600,12451,100.0,84.0,2022-01-05 13:00:00,42.3,22.9,0.0,5.0,5.264080300544717e-06,1.0,6.123233995736766e-17
1641391200,12451,100.0,83.0,2022-01-05 14:00:00,36.2,22.6,0.0,10.6,5.264080300544717e-06,0.984807753012208,-0.1736481776669303
1641394800,12451,100.0,83.0,2022-01-05 15:00:00,33.1,22.1,0.0,11.3,5.264080300544717e-06,0.9876883405951378,-0.1564344650402308
1641398400,12451,100.0,82.0,2022-01-05 16:00:00,36.3,22.0,0.0,13.0,5.264080300544717e-06,0.9945218953682732,-0.1045284632676535
1641402000,12451,100.0,82.0,2022-01-05 17:00:00,36.0,21.6,0.0,14.2,5.264080300544717e-06,0.9876883405951378,-0.1564344650402308
1641405600,12451,100.0,81.0,2022-01-05 18:00:00,21.3,21.7,0.0,14.9,5.264080300544717e-06,0.9902680687415704,-0.1391731009600653
1641409200,12451,100.0,81.0,2022-01-05 19:00:00,11.9,21.3,0.0,14.2,5.264080300544717e-06,0.9876883405951378,-0.1564344650402308
1641412800,12451,100.0,81.0,2022-01-05 20:00:00,11.3,21.3,0.0,13.4,5.264080300544717e-06,0.9945218953682732,-0.1045284632676535
1641416400,12451,100.0,81.0,2022-01-05 21:00:00,10.8,21.3,0.0,14.3,5.264080300544717e-06,0.9781476007338056,-0.2079116908177593
1641420000,12451,100.0,81.0,2022-01-05 22:00:00,18.9,21.3,0.0,15.1,5.264080300544717e-06,0.9781476007338056,-0.2079116908177593
1641423600,12451,100.0,81.0,2022-01-05 23:00:00,25.4,21.4,0.0,15.4,5.264080300544717e-06,0.981627183447664,-0.1908089953765448
1641427200,12451,100.0,80.0,2022-01-06 00:00:00,18.0,21.1,0.0,15.5,5.264080300544717e-06,0.9781476007338056,-0.2079116908177593
1641427200,12451,100.0,80.0,2022-01-06 00:00:00,18.0,51.0,,,5.264080300544717e-06,,
1641430800,12451,100.0,80.0,2022-01-06 01:00:00,38.8,21.2,0.0,16.2,5.264080300544717e-06,0.9743700647852352,-0.224951054343865
1641434400,12451,100.0,82.0,2022-01-06 02:00:00,26.2,22.1,0.0,17.5,5.264080300544717e-06,0.9702957262759964,-0.2419218955996677
1641438000,12451,100.0,85.0,2022-01-06 03:00:00,18.7,23.6,0.0,22.1,5.264080300544717e-06,0.992546151641322,-0.1218693434051473
1641441600,12451,100.0,88.0,2022-01-06 04:00:00,15.6,25.1,0.0,20.2,5.264080300544717e-06,0.9975640502598242,-0.0697564737441253
1641445200,12451,100.0,90.0,2022-01-06 05:00:00,16.5,26.2,0.0,21.6,5.264080300544717e-06,0.9998476951563912,0.0174524064372836
1641448800,12451,100.0,90.0,2022-01-06 06:00:00,24.9,27.0,0.0,19.4,5.264080300544717e-06,1.0,6.123233995736766e-17
1641452400,12451,100.0,89.0,2022-01-06 07:00:00,45.0,27.6,0.1,18.1,5.264080300544717e-06,0.9961946980917455,0.0871557427476581
1641456000,12451,100.0,90.0,2022-01-06 08:00:00,20.6,27.9,0.1,17.3,5.264080300544717e-06,0.9961946980917455,0.0871557427476581
1641459600,12451,100.0,90.0,2022-01-06 09:00:00,22.0,27.4,0.1,16.9,5.264080300544717e-06,0.9993908270190958,-0.0348994967025009
1641463200,12451,100.0,89.0,2022-01-06 10:00:00,27.9,26.4,0.0,17.7,5.264080300544717e-06,0.9961946980917455,-0.0871557427476582
1641466800,12451,100.0,89.0,2022-01-06 11:00:00,21.1,25.9,0.0,15.4,5.264080300544717e-06,0.981627183447664,-0.1908089953765448
1641470400,12451,100.0,88.0,2022-01-06 12:00:00,24.1,24.5,0.0,14.9,5.264080300544717e-06,0.9659258262890684,-0.2588190451025208
1641474000,12451,100.0,86.0,2022-01-06 13:00:00,33.6,23.6,0.0,14.8,5.264080300544717e-06,0.9510565162951536,-0.3090169943749473
1641477600,12451,100.0,85.0,2022-01-06 14:00:00,24.3,23.2,0.0,14.1,5.264080300544717e-06,0.9743700647852352,-0.224951054343865
1641481200,12451,100.0,84.0,2022-01-06 15:00:00,19.9,22.8,0.0,12.4,5.264080300544717e-06,0.984807753012208,-0.1736481776669303
1641484800,12451,100.0,84.0,2022-01-06 16:00:00,16.8,22.5,0.0,12.0,5.264080300544717e-06,0.9876883405951378,-0.1564344650402308
1641488400,12451,100.0,83.0,2022-01-06 17:00:00,16.2,22.4,0.0,11.5,5.264080300544717e-06,0.9702957262759964,-0.2419218955996677
1641492000,12451,100.0,82.0,2022-01-06 18:00:00,11.3,22.1,0.0,9.8,5.264080300544717e-06,0.9563047559630355,-0.2923717047227366
1641495600,12451,100.0,82.0,2022-01-06 19:00:00,11.0,22.2,0.0,8.5,5.264080300544717e-06,0.9781476007338056,-0.2079116908177593
1641499200,12451,100.0,82.0,2022-01-06 20:00:00,9.5,22.3,0.0,9.5,5.264080300544717e-06,0.981627183447664,-0.1908089953765448
1641502800,12451,100.0,81.0,2022-01-06 21:00:00,15.8,22.0,0.0,9.7,5.264080300544717e-06,1.0,6.123233995736766e-17
1641506400,12451,100.0,80.0,2022-01-06 22:00:00,13.1,21.9,0.0,10.8,5.264080300544717e-06,0.9993908270190958,0.034899496702501
1641510000,12451,100.0,79.0,2022-01-06 23:00:00,16.8,21.6,0.0,11.2,5.264080300544717e-06,0.9975640502598242,0.0697564737441252
1641513600,12451,100.0,78.0,2022-01-07 00:00:00,30.5,20.6,0.0,9.4,1.673891529206747e-05,0.9993908270190958,0.034899496702501
1641513600,12451,100.0,78.0,2022-01-07 00:00:00,30.5,3.0,,,1.673891529206747e-05,,
1641517200,12451,100.0,78.0,2022-01-07 01:00:00,57.3,21.3,0.0,11.2,1.673891529206747e-05,0.9993908270190958,-0.0348994967025009
1641520800,12451,100.0,80.0,2022-01-07 02:00:00,67.6,22.8,0.0,12.2,1.673891529206747e-05,1.0,6.123233995736766e-17
1641524400,12451,100.0,84.0,2022-01-07 03:00:00,49.2,24.3,0.0,17.7,1.673891529206747e-05,0.9961946980917455,-0.0871557427476582
1641528000,12451,100.0,88.0,2022-01-07 04:00:00,23.2,25.6,0.0,19.8,1.673891529206747e-05,1.0,6.123233995736766e-17
1641531600,12451,100.0,90.0,2022-01-07 05:00:00,17.5,26.8,0.0,19.4,1.673891529206747e-05,1.0,6.123233995736766e-17
1641535200,12451,100.0,92.0,2022-01-07 06:00:00,24.6,27.3,0.0,18.4,1.673891529206747e-05,0.9993908270190958,-0.0348994967025009
1641538800,12451,100.0,93.0,2022-01-07 07:00:00,20.9,27.7,0.0,18.1,1.673891529206747e-05,0.9961946980917455,-0.0871557427476582
1641542400,12451,100.0,94.0,2022-01-07 08:00:00,14.5,27.7,0.0,16.6,1.673891529206747e-05,1.0,6.123233995736766e-17
1641546000,12451,100.0,95.0,2022-01-07 09:00:00,11.7,27.8,0.0,15.5,1.673891529206747e-05,0.9998476951563912,-0.0174524064372834
1641549600,12451,99.0,95.0,2022-01-07 10:00:00,12.5,27.5,0.0,17.7,1.673891529206747e-05,0.9975640502598242,-0.0697564737441253
1641553200,12451,100.0,93.0,2022-01-07 11:00:00,18.6,25.7,0.0,18.0,1.673891529206747e-05,0.9986295347545738,-0.0523359562429438
1641556800,12451,100.0,90.0,2022-01-07 12:00:00,36.8,24.9,0.0,15.3,1.673891529206747e-05,0.9902680687415704,-0.1391731009600653
1641560400,12451,100.0,87.0,2022-01-07 13:00:00,50.2,23.6,0.0,13.8,1.673891529206747e-05,0.9876883405951378,-0.1564344650402308
1641564000,12451,100.0,86.0,2022-01-07 14:00:00,48.8,22.9,0.0,10.8,1.673891529206747e-05,0.9993908270190958,-0.0348994967025009
1641567600,12451,100.0,85.0,2022-01-07 15:00:00,47.5,22.6,0.0,10.1,1.673891529206747e-05,1.0,6.123233995736766e-17
1641571200,12451,100.0,84.0,2022-01-07 16:00:00,21.7,22.4,0.0,8.3,1.673891529206747e-05,0.9961946980917455,0.0871557427476581
1641574800,12451,100.0,84.0,2022-01-07 17:00:00,22.5,22.2,0.0,8.7,1.673891529206747e-05,0.992546151641322,0.1218693434051474
1641578400,12451,100.0,82.0,2022-01-07 18:00:00,18.6,21.8,0.0,8.3,1.673891529206747e-05,0.9961946980917455,0.0871557427476581
1641582000,12451,100.0,82.0,2022-01-07 19:00:00,14.6,21.0,0.0,7.9,1.673891529206747e-05,0.9986295347545738,-0.0523359562429438
1641585600,12451,100.0,81.0,2022-01-07 20:00:00,18.6,20.5,0.0,7.2,1.673891529206747e-05,0.9945218953682732,-0.1045284632676535
1641589200,12451,100.0,80.0,2022-01-07 21:00:00,17.8,20.3,0.0,5.8,1.673891529206747e-05,0.9271838545667874,-0.374606593415912
1641592800,12451,100.0,79.0,2022-01-07 22:00:00,16.5,20.2,0.0,5.6,1.673891529206747e-05,0.8910065241883679,-0.4539904997395467
1641596400,12451,100.0,78.0,2022-01-07 23:00:00,19.1,20.3,0.0,5.8,1.673891529206747e-05,0.9271838545667874,-0.374606593415912
1641600000,12451,100.0,78.0,2022-01-08 00:00:00,23.3,20.2,0.0,5.1,1.669555059703109e-05,0.9902680687415704,-0.1391731009600653
