time_stamp,sensor_index,humidity,temperature,pm2.5_atm,datetime,pm2.5_corrected,aqi
1722985200,173211,68,87,18.6,2024-08-06 23:00:00,9.7972,52.29896577946768
1724353200,173211,70,87,6.6,2024-08-22 19:00:00,3.2203999999999997,17.89111111111111
1727287200,173211,68,88,19.0,2024-09-25 18:00:00,10.0108,52.69692775665399
1735138800,173211,56,88,40.2,2024-12-25 15:00:00,22.3444,75.6758783269962
1735149600,173211,61,85,77.5,2024-12-25 18:00:00,41.8406,116.61253266331659
1735102800,173211,45,93,12.5,2024-12-25 05:00:00,8.481000000000002,47.116666666666674
1728838800,173211,75,83,14.6,2024-10-13 17:00:00,7.0704,39.28
1732323600,173211,73,82,33.4,2024-11-23 01:00:00,17.278399999999998,66.23732319391635
1724241600,173211,66,85,11.4,2024-08-21 12:00:00,6.1212,34.00666666666667
1729134000,173211,60,91,6.8,2024-10-17 03:00:00,4.171200000000001,23.173333333333336
1729159200,173211,52,96,19.3,2024-10-17 10:00:00,11.5214,55.5113536121673
1729202400,173211,70,85,19.7,2024-10-17 22:00:00,10.2158,53.078866920152095
1727370000,173211,65,89,3.9,2024-09-26 17:00:00,2.2006000000000006,12.225555555555559
1726376400,173211,63,91,5.5,2024-09-15 05:00:00,3.2237999999999998,17.909999999999997
1726380000,173211,59,93,4.6,2024-09-15 06:00:00,3.0807999999999995,17.115555555555552
1720915200,173211,74,84,15.3,2024-07-14 00:00:00,7.528600000000001,41.82555555555556
1720922400,173211,71,87,17.4,2024-07-14 02:00:00,8.903199999999998,49.46222222222221
1726268400,173211,66,88,3.0,2024-09-13 23:00:00,1.6356000000000002,9.086666666666668
1726239600,173211,65,90,7.5,2024-09-13 15:00:00,4.123,22.905555555555555
1726261200,173211,66,88,2.4,2024-09-13 21:00:00,1.3152,7.306666666666666
1735016400,173211,37,93,22.7,2024-12-24 05:00:00,14.603000000000002,61.25273764258556
1722549600,173211,68,87,3.0,2024-08-01 22:00:00,1.4668,8.148888888888889
1725177600,173211,65,90,3.2,2024-09-01 08:00:00,1.8268000000000004,10.14888888888889
1725152400,173211,74,85,5.6,2024-09-01 01:00:00,2.3487999999999998,13.048888888888888
1725159600,173211,71,87,9.8,2024-09-01 03:00:00,4.844800000000001,26.91555555555556
1728979200,173211,56,93,4.2,2024-10-15 08:00:00,3.1204000000000005,17.33555555555556
1730988000,173211,64,89,22.6,2024-11-07 14:00:00,12.270800000000001,56.907574144486695
1726333200,173211,66,89,10.7,2024-09-14 17:00:00,5.7474,31.93
1726326000,173211,65,90,12.8,2024-09-14 15:00:00,6.953200000000001,38.628888888888895
1727164800,173211,53,95,4.1,2024-09-24 08:00:00,3.3202,18.445555555555554
1727179200,173211,59,91,6.2,2024-09-24 12:00:00,3.9352,21.862222222222222
1727186400,173211,62,90,6.3,2024-09-24 14:00:00,3.7354000000000003,20.752222222222223
1727168400,173211,54,95,4.1,2024-09-24 09:00:00,3.2358000000000002,17.976666666666667
1723140000,173211,63,89,4.6,2024-08-08 18:00:00,2.7431999999999994,15.239999999999997
1723960800,173211,66,90,3.4,2024-08-18 06:00:00,1.8491999999999997,10.273333333333332
1727643600,173211,72,84,14.4,2024-09-29 21:00:00,7.2168,40.093333333333334
1727600400,173211,53,96,23.2,2024-09-29 09:00:00,13.5196,59.23423574144487
1734681600,173211,55,94,3.9,2024-12-20 08:00:00,3.0446,16.914444444444445
1731585600,173211,63,91,27.7,2024-11-14 12:00:00,15.078599999999998,62.13883650190114
1731592800,173211,71,84,4.6,2024-11-14 14:00:00,2.068,11.488888888888889
1722110400,173211,66,89,2.4,2024-07-27 20:00:00,1.3152,7.306666666666666
1721685600,173211,72,84,15.8,2024-07-22 22:00:00,7.9644,44.24666666666667
1721620800,173211,56,94,8.5,2024-07-22 04:00:00,5.416600000000001,30.092222222222226
1721678400,173211,70,84,19.2,2024-07-22 20:00:00,9.9488,52.5814144486692
1733346000,173211,65,85,22.4,2024-12-04 21:00:00,12.079600000000001,56.551346007604565
1733331600,173211,64,88,30.9,2024-12-04 17:00:00,16.703,65.16528517110267
1732136400,173211,72,83,15.1,2024-11-20 21:00:00,7.590599999999999,42.169999999999995
1732060800,173211,73,81,19.3,2024-11-20 00:00:00,9.749,52.20916349809886
1723442400,173211,52,97,14.6,2024-08-12 06:00:00,9.011600000000001,500.0
1729324800,173211,49,96,4.8,2024-10-19 08:00:00,4.0316,22.397777777777776
1729296000,173211,70,85,16.6,2024-10-19 00:00:00,8.560400000000001,47.55777777777779
1720328400,173211,70,88,4.3,2024-07-07 05:00:00,1.9922,11.067777777777778
1733875200,173211,70,83,23.4,2024-12-11 00:00:00,12.1916,56.76001520912548
1733925600,173211,62,88,24.4,2024-12-11 14:00:00,13.4008,59.01289733840304
1733896800,173211,52,93,9.6,2024-12-11 06:00:00,6.341600000000001,35.23111111111111
1733932800,173211,63,86,9.5,2024-12-11 16:00:00,5.3598,29.776666666666664
1730160000,173211,73,85,14.2,2024-10-29 00:00:00,7.0256,39.03111111111111
1724454000,173211,72,85,11.7,2024-08-23 23:00:00,5.7749999999999995,32.08333333333333
1726916400,173211,54,93,7.9,2024-09-21 11:00:00,5.265000000000001,29.250000000000004
1726930800,173211,61,90,9.0,2024-09-21 15:00:00,5.2616,29.231111111111108
1729724400,173211,75,83,11.2,2024-10-23 23:00:00,5.2548,29.193333333333335
1727550000,173211,70,84,12.0,2024-09-28 19:00:00,6.104,33.91111111111111
1731276000,173211,66,84,14.4,2024-11-10 22:00:00,7.7232,42.906666666666666
1731214800,173211,49,94,9.7,2024-11-10 05:00:00,6.6482,36.934444444444445
1720274400,173211,67,88,31.5,2024-07-06 14:00:00,16.770200000000003,65.29048669201522
1725843600,173211,72,86,13.1,2024-09-09 01:00:00,6.5226,36.236666666666665
1722646800,173211,71,87,16.5,2024-08-03 01:00:00,8.4226,46.792222222222215
1734364800,173211,74,83,30.0,2024-12-16 16:00:00,15.3784,62.69739923954373
1734310800,173211,74,82,26.0,2024-12-16 01:00:00,13.2424,58.71777946768061
1732712400,173211,79,82,25.4,2024-11-27 13:00:00,12.5,57.334600760456276
1732723200,173211,79,82,32.1,2024-11-27 16:00:00,16.0778,64.000463878327
1732737600,173211,74,80,27.2,2024-11-27 20:00:00,13.883199999999999,59.91166539923954
1732482000,173211,70,83,5.1,2024-11-24 21:00:00,2.4193999999999996,13.441111111111109
1726477200,173211,54,95,5.0,2024-09-16 09:00:00,3.7164,20.64666666666667
1732939200,173211,77,81,26.5,2024-11-30 04:00:00,13.256200000000002,58.74349049429658
1719874800,173211,73,87,15.5,2024-07-01 23:00:00,7.719800000000001,42.887777777777785
1730062800,173211,73,84,3.7,2024-10-27 21:00:00,1.4186000000000005,7.881111111111114
1722855600,173211,61,90,9.1,2024-08-05 11:00:00,5.3149999999999995,29.527777777777775
1729890000,173211,73,82,3.0,2024-10-25 21:00:00,1.0448000000000004,5.804444444444447
1729875600,173211,72,84,2.0,2024-10-25 17:00:00,0.5951999999999993,3.3066666666666626
1720461600,173211,69,87,20.1,2024-07-08 18:00:00,10.513800000000002,53.63407604562738
1720396800,173211,75,83,7.1,2024-07-08 00:00:00,3.0654,17.029999999999998
1724972400,173211,66,87,3.4,2024-08-29 23:00:00,1.8491999999999997,10.273333333333332
1724965200,173211,64,88,2.8,2024-08-29 21:00:00,1.6976,9.431111111111111
1724907600,173211,54,94,4.8,2024-08-29 05:00:00,3.6096000000000004,20.053333333333335
1725138000,173211,74,85,4.2,2024-08-31 21:00:00,1.6011999999999995,8.895555555555552
1725098400,173211,58,93,1.9,2024-08-31 10:00:00,1.7233999999999998,9.574444444444444
1725109200,173211,64,89,31.1,2024-08-31 13:00:00,16.809800000000003,65.36426615969583
1722135600,173211,61,92,5.2,2024-07-28 03:00:00,3.2323999999999997,17.957777777777775
1723406400,173211,71,88,9.6,2024-08-11 20:00:00,4.738,26.322222222222223
1732302000,173211,73,84,20.8,2024-11-22 19:00:00,10.55,53.70152091254753
1732244400,173211,60,90,11.5,2024-11-22 03:00:00,6.681,37.11666666666667
1724576400,173211,54,95,3.4,2024-08-25 09:00:00,2.862,15.9
1724565600,173211,59,92,4.1,2024-08-25 06:00:00,2.8137999999999996,15.63222222222222
1731690000,173211,72,83,6.2,2024-11-15 17:00:00,2.838,15.766666666666666
1729569600,173211,68,88,14.3,2024-10-22 04:00:00,7.501,41.672222222222224
1725458400,173211,71,86,43.1,2024-09-04 14:00:00,22.627000000000002,76.20239543726237
1725426000,173211,65,91,3.6,2024-09-04 05:00:00,2.0404000000000004,11.335555555555558
1731751200,173211,58,92,14.8,2024-11-16 10:00:00,8.612000000000002,47.844444444444456
1729774800,173211,64,89,19.9,2024-10-24 13:00:00,10.829,54.22133079847909
1729746000,173211,63,90,13.6,2024-10-24 05:00:00,7.5492,41.94
1729789200,173211,69,86,21.5,2024-10-24 17:00:00,11.2614,55.02694296577947
1730768400,173211,72,84,23.6,2024-11-05 01:00:00,12.1296,56.644501901140686
1730847600,173211,72,82,22.9,2024-11-05 23:00:00,11.7558,55.94806844106464
1734228000,173211,66,84,24.7,2024-12-15 02:00:00,13.2234,58.682380228136886
1720771200,173211,59,93,5.0,2024-07-12 08:00:00,3.2943999999999996,18.30222222222222
1730908800,173211,66,88,51.6,2024-11-06 16:00:00,27.588,85.44532319391635
1730887200,173211,52,94,33.0,2024-11-06 10:00:00,18.8372,69.14155133079848
1726538400,173211,62,90,5.8,2024-09-17 02:00:00,3.4684,19.26888888888889
1726545600,173211,57,93,5.4,2024-09-17 04:00:00,3.6768,20.426666666666666
1724806800,173211,68,86,20.8,2024-08-28 01:00:00,10.972000000000001,54.4877566539924
1724803200,173211,68,85,18.1,2024-08-28 00:00:00,9.5302,51.80151330798479
1724864400,173211,64,89,6.4,2024-08-28 17:00:00,3.62,20.11111111111111
1725620400,173211,59,92,7.2,2024-09-06 11:00:00,4.4692,24.828888888888887
1725634800,173211,64,89,6.6,2024-09-06 15:00:00,3.7268,20.704444444444444
1725631200,173211,64,89,6.6,2024-09-06 14:00:00,3.7268,20.704444444444444
1722996000,173211,64,89,17.0,2024-08-07 02:00:00,9.2804,51.33610646387833
1723057200,173211,65,89,4.0,2024-08-07 19:00:00,2.2540000000000004,12.522222222222224
1723017600,173211,48,97,4.9,2024-08-07 08:00:00,4.169400000000001,23.16333333333334
1722783600,173211,64,89,6.9,2024-08-04 15:00:00,3.8870000000000005,21.594444444444445
1722751200,173211,56,94,3.8,2024-08-04 06:00:00,2.9068,16.148888888888887
1733515200,173211,67,87,23.8,2024-12-06 20:00:00,12.6584,57.62971863117871
1730131200,173211,72,87,11.0,2024-10-28 16:00:00,5.4012,30.006666666666668
1732186800,173211,68,84,5.4,2024-11-21 11:00:00,2.7484,15.26888888888889
1732179600,173211,63,90,8.0,2024-11-21 09:00:00,4.5588,25.326666666666664
1721476800,173211,54,93,7.5,2024-07-20 12:00:00,5.0514,28.063333333333333
1721491200,173211,62,90,6.5,2024-07-20 16:00:00,3.8422,21.345555555555556
1723856400,173211,76,85,11.5,2024-08-17 01:00:00,5.3306,29.61444444444444
1723867200,173211,72,87,5.5,2024-08-17 04:00:00,2.4642,13.69
1723888800,173211,66,88,7.7,2024-08-17 10:00:00,4.1454,23.03
1729936800,173211,62,89,6.2,2024-10-26 10:00:00,3.6820000000000004,20.455555555555556
1729915200,173211,58,92,6.6,2024-10-26 04:00:00,4.2332,23.517777777777777
1731092400,173211,74,82,6.2,2024-11-08 19:00:00,2.6692,14.828888888888889
1731049200,173211,62,90,2.0,2024-11-08 07:00:00,1.4392000000000005,7.9955555555555575
1734598800,173211,53,95,5.7,2024-12-19 09:00:00,4.1746,23.19222222222222
1721840400,173211,65,90,11.0,2024-07-24 17:00:00,5.992000000000001,33.28888888888889
1721808000,173211,49,98,3.0,2024-07-24 08:00:00,3.0704000000000002,17.05777777777778
1721829600,173211,62,91,10.1,2024-07-24 14:00:00,5.7646,32.025555555555556
1721199600,173211,60,92,3.8,2024-07-17 07:00:00,2.5692,14.273333333333332
1727470800,173211,68,86,19.2,2024-09-27 21:00:00,10.1176,52.89590874524715
1727478000,173211,68,86,16.1,2024-09-27 23:00:00,8.4622,47.01222222222221
1731452400,173211,70,85,22.1,2024-11-12 23:00:00,11.4974,55.466638783269964
1720062000,173211,65,90,8.1,2024-07-04 03:00:00,4.4434000000000005,24.685555555555556
1720108800,173211,73,85,18.2,2024-07-04 16:00:00,9.1616,51.114768060836504
1732860000,173211,61,87,36.2,2024-11-29 06:00:00,19.786400000000004,70.91002281368822
