"DateTime","Average","OSC Sensor 4 A","OSC Sensor 4 B"
"2026-08-19 16:10:00",23,52,2
"2026-08-19 16:20:00",,54,2
"2026-08-19 16:30:00",,58,3
"2026-08-19 16:40:00",,44,1
"2026-08-19 16:50:00",,47,1
"2026-08-19 17:00:00",,46,1
"2026-08-19 17:10:00",,52,2
"2026-08-19 17:20:00",,54,3
"2026-08-19 17:30:00",,58,4
"2026-08-19 17:40:00",,59,5
"2026-08-19 17:50:00",,60,6
"2026-08-19 18:00:00",,56,4
"2026-08-19 18:10:00",,58,4
"2026-08-19 18:20:00",,55,3
"2026-08-19 18:30:00",,56,3
"2026-08-19 18:40:00",,61,6
"2026-08-19 18:50:00",,60,5
"2026-08-19 19:00:00",,56,4
"2026-08-19 19:10:00",,45,1
"2026-08-19 19:20:00",,41,1
"2026-08-19 19:30:00",,52,1
"2026-08-19 19:40:00",,46,2
"2026-08-19 19:50:00",,38,1
"2026-08-19 20:00:00",,38,1
"2026-08-19 20:10:00",,44,1
"2026-08-19 20:20:00",,43,1
"2026-08-19 20:30:00",,49,1
"2026-08-19 20:40:00",,45,2
"2026-08-19 20:50:00",,50,0
"2026-08-19 21:00:00",,44,1
"2026-08-19 21:10:00",,38,1
"2026-08-19 21:20:00",,41,2
"2026-08-19 21:30:00",,47,2
"2026-08-19 21:40:00",,36,0
"2026-08-19 22:00:00",,34,0
"2026-08-19 22:10:00",,32,0
"2026-08-19 22:20:00",,33,0
"2026-08-19 22:30:00",,32,0
"2026-08-19 22:40:00",,34,1
"2026-08-19 22:50:00",,33,0
"2026-08-19 23:10:00",,29,0
"2026-08-19 23:20:00",,28,0
"2026-08-19 23:30:00",,30,0
"2026-08-19 23:40:00",,27,0
"2026-08-19 23:50:00",,17,0
"2026-08-20 00:00:00",,21,0
"2026-08-20 00:10:00",,26,0
"2026-08-20 00:20:00",,23,0
"2026-08-20 00:30:00",,23,0
"2026-08-20 00:40:00",,20,0
"2026-08-20 00:50:00",,22,0
"2026-08-20 01:00:00",,16,0
"2026-08-20 01:10:00",,24,0
"2026-08-20 01:30:00",,21,0
"2026-08-20 01:40:00",,22,1
"2026-08-20 01:50:00",,17,0
"2026-08-20 02:00:00",,24,0
"2026-08-20 02:10:00",,26,0
"2026-08-20 02:20:00",,24,0
"2026-08-20 02:30:00",,23,0
"2026-08-20 02:40:00",,23,0
"2026-08-20 02:50:00",,22,0
"2026-08-20 03:40:00",,26,0
"2026-08-20 03:50:00",,22,0
"2026-08-20 05:20:00",,28,0
"2026-08-20 05:40:00",,22,0
"2026-08-20 05:50:00",,26,0
